date,market_return,market_volatility_21d,avg_daily_volume
2018-01-01,0.005170427377101093,0.009014261250921748,1251908.7254599046
2018-01-02,-0.0005443787105406619,0.009014261250921748,914122.5084693184
2018-01-03,0.006529196842906232,0.009014261250921748,1504770.9099224892
2018-01-04,0.014407268707672225,0.009014261250921748,1103333.3178234147
2018-01-05,-0.0014073803725100234,0.009014261250921748,1015348.7785480078
2018-01-08,-0.0014072326125426247,0.009014261250921748,1141555.6531826374
2018-01-09,0.014912915339566521,0.009014261250921748,3505556.621144743
2018-01-10,0.007606912562376179,0.009014261250921748,1540540.0918919796
2018-01-11,-0.003525269473414569,0.009014261250921748,1667219.3599475042
2018-01-12,0.0055830403922736815,0.009014261250921748,957588.1108211378
2018-01-15,-0.00347075923531216,0.009014261250921748,770416.4289216801
2018-01-16,-0.0034915677821323113,0.009014261250921748,1102765.3911243489
2018-01-17,0.002877660444094307,0.009014261250921748,2429918.9353525657
2018-01-18,-0.01651952220192018,0.009014261250921748,1651172.8526085091
2018-01-19,-0.014824260492617295,0.009014261250921748,1811214.697973963
2018-01-22,-0.004360587763168754,0.009014261250921748,1902155.1936176016
2018-01-23,-0.008415480083009814,0.009014261250921748,1194248.5499644966
2018-01-24,0.0035282259933574647,0.009014261250921748,2387573.065908617
2018-01-25,-0.007472216679690897,0.009014261250921748,1177044.67274085
2018-01-26,-0.012010733312017623,0.009014261250921748,2402886.6075644176
2018-01-29,0.013890838920293984,0.009014261250921748,1714797.8409676894
2018-01-30,-0.0013319867043788207,0.008934044757759232,785310.2927203405
2018-01-31,0.0013077538421913146,0.008942202546270527,1130529.516598122
2018-02-01,-0.012122733675921111,0.009147500330712285,786439.8444998569
2018-02-02,-0.004199444520726643,0.008427950177036294,2207008.9631728902
2018-02-05,0.0016983033073887945,0.008468522144489706,1456202.5363770186
2018-02-06,-0.009658942196800725,0.008630128775533917,673390.1417038812
2018-02-07,0.0040812821651110475,0.007831603962078373,1675314.4024824142
2018-02-08,-0.004705748209269244,0.0074579135467017854,1217113.3520271198
